,count (n),percentage (%)
Bárbara Molina,10,10.1
Javier Cervera,6,6.06
Manuel Manrique,22,22.22
Manuel Manrique ,0,0.0
Marta Alvarez de Linera Alperi,1,1.01
Marta Álvarez de Linera Alperi,1,1.01
Raquel Manrique,8,8.08
Sol Ferran,2,2.02
Sol Ferrán,1,1.01
NA,48,48.48
TOTAL,99,99.99
