,count (n),percentage (%)
1973,7,7.07
1957,7,7.07
1962,7,7.07
1964,6,6.06
1968,6,6.06
1958,5,5.05
1982,4,4.04
1971,4,4.04
1960,4,4.04
1975,4,4.04
1970,4,4.04
1963,3,3.03
1961,3,3.03
2007,2,2.02
1954,2,2.02
1980,2,2.02
2002,2,2.02
1990,2,2.02
1947,2,2.02
1943,2,2.02
1981,2,2.02
1965,2,2.02
1988,2,2.02
2006,2,2.02
1972,1,1.01
1978,1,1.01
1985,1,1.01
1949,1,1.01
1956,1,1.01
1977,1,1.01
1991,1,1.01
1959,1,1.01
1987,1,1.01
1993,1,1.01
1976,1,1.01
1966,1,1.01
1940,1,1.01
TOTAL,99,99.99
